"id","name","address1","city","postcode","phone","org_type","cat_actions_against_police","cat_clinical_negligence","cat_community_care","cat_crime","cat_debt","cat_family","cat_family_mediation","cat_housing","cat_immigration_or_asylum","cat_mental_health","cat_prison_law","cat_public_law","cat_welfare_benefits"
"48","Holmes, O'Connor and Lewis","0 Jay freeway","Simpsonfort","DA9B 1PN","0118 496 0259","mediation","0","1","1","0","1","1","0","1","0","0","0","0","0"
"49","Smith-Holloway","843 Terence expressway","Natashahaven","NE10 0YD","+44(0)289018220","solicitor","1","0","1","1","1","0","0","1","1","0","1","1","0"
"50","Andrews Ltd","85 Owen cliffs","Lake Mohammad","WR4 1ZR","+44(0)3069990857","mediation","1","1","1","1","0","0","0","0","1","0","0","0","0"
"51","Rose-Barrett","6 Billy prairie","South Lisatown","NW21 7DF","01134960255","mediation","0","1","1","1","1","1","0","1","1","1","1","1","1"
"52","Smith-Sanders","065 Edwards mall","New Eileen","E33 4RA","01314960862","mediation","1","1","0","0","0","0","0","1","1","1","0","0","0"
"53","Gordon-Richards","84 Khan vista","Brownbury","CA20 7ZG","0292018455","charity","0","1","1","1","0","0","1","1","1","1","1","0","0"
"54","Hodgson, Higgins and Bell","08 Waters meadows","East Royshire","N8T 5TP","01214960903","mediation","0","0","0","1","1","1","0","1","1","0","1","0","1"
"55","Carroll, Nicholson and Houghton","17 Kieran extensions","Port Clarefurt","KA7 4FW","0289018541","charity","0","1","0","1","0","0","1","1","1","0","0","1","1"
"56","Kaur-Tomlinson","293 Stephen vista","Lake Ryan","HX3 4AS","+4428 9018774","private","0","0","1","1","1","1","1","1","0","0","0","0","1"
"57","Morgan PLC","9 Eleanor causeway","North Michael","G6 0YS","(0191)4960608","solicitor","1","0","1","0","0","0","1","1","0","0","0","1","0"
"58","Davies PLC","795 Melissa avenue","Greenburgh","CH1 6TP","(029)2018857","private","1","1","1","0","1","1","0","1","0","1","1","0","0"
"59","Knight Inc","89 Green junction","Russellshire","M15 4DW","+44115 4960970","mediation","0","0","1","0","1","1","0","1","1","0","0","0","1"
"60","Perry and Sons","88 Angela stravenue","North Victoria","UB34 9BJ","01914960373","private","1","0","0","1","0","0","1","0","0","0","0","1","0"
"61","Morgan-Foster","907 Jenkins way","Lake Hayleybury","SA91 5ED","+44(0)115 4960590","mediation","1","0","0","1","1","0","0","0","1","1","1","0","1"
"62","Simpson-Evans","511 Sophie mountain","North Amelia","S08 7GS","+44121 4960101","charity","0","1","0","1","0","0","1","1","1","1","0","1","1"
"63","Crawford, Cunningham and Lane","5 Green squares","South Margaret","B65 2NX","(0114)4960634","mediation","1","1","0","1","1","1","1","0","1","0","1","1","1"
"64","Collins-Peters","89 Chandler crest","Grahamburgh","L8 0RN","(0115) 4960215","mediation","0","1","0","0","0","1","0","1","0","0","1","1","0"
"65","Robinson-Evans","212 Brown common","Lake Francesmouth","E5 2ER","(0115)4960286","solicitor","1","0","0","1","0","0","1","0","0","0","0","1","1"
"66","White, Graham and Smith","53 Howard stream","Ryanfort","TR16 3RG","+44(0)118 496 0700","mediation","0","1","1","0","1","0","1","0","1","1","1","1","1"
"67","Hall, Johnson and Wilson","126 McDonald square","South Dean","IM8X 1PN","01632 960 493","private","0","0","0","1","1","0","0","0","1","0","0","1","1"
"68","Martin Ltd","1 Lawrence skyway","West Grace","RH9X 8SJ","01164960365","mediation","1","0","1","1","1","1","1","1","1","0","1","0","1"
"69","Cartwright, Williams and Robson","34 Douglas springs","New Hughburgh","SY85 0EN","+44161 4960346","solicitor","1","0","1","0","1","0","0","0","1","0","1","0","0"
"70","Richardson LLC","5 Peter ramp","Sianhaven","BD0Y 9WR","+441164960290","private","1","1","1","0","1","1","0","1","0","1","1","0","0"
"71","Lyons-Stone","836 Pauline flats","Geraldinefort","BH8 4AZ","(0306) 999 0935","mediation","0","1","1","1","1","0","0","0","1","0","0","0","0"
"72","Thomas-Brown","9 Hawkins isle","Lesliebury","M46 4HY","+44306 999 0758","charity","0","1","1","0","1","0","1","0","0","1","0","1","0"
"73","Murphy Ltd","0 Wright road","Lake Callumview","G08 9DL","028 9018589","solicitor","0","1","1","1","0","0","1","1","1","0","0","0","1"
"74","Sims PLC","7 Gail plains","Sheilamouth","N82 8UY","0909 8790254","mediation","1","1","0","0","0","1","1","1","1","1","0","0","1"
"75","Cooper PLC","744 Jane trail","Pearsontown","N45 5ZS","+44(0)151 496 0237","charity","0","1","1","0","0","1","0","1","0","1","0","1","1"
"76","Shaw-James","68 Leanne alley","Woodshire","DE8V 8DJ","+441632960222","solicitor","0","0","1","1","1","0","1","0","1","0","1","1","0"
"77","Austin-Turner","5 Dean villages","West Diane","SM4N 2LA","+441214960193","charity","1","0","1","1","1","0","0","0","0","0","1","0","1"
"78","Carter Ltd","46 Cox flat","West Francescamouth","S6 7FE","(029)2018224","solicitor","0","1","1","1","0","0","1","1","1","1","1","1","0"
"79","Walton-Blackburn","29 Hughes groves","Bankshaven","SE98 9TU","0141 496 0604","solicitor","0","1","0","1","0","1","1","0","1","0","1","0","1"
"80","Taylor and Sons","05 Philip tunnel","North Elliot","WA0N 5LA","(0909)8790901","charity","1","0","1","1","0","1","0","1","0","1","0","1","0"
"81","Clarke-Patterson","81 Goddard lock","Lesliehaven","NW8 0ZX","01632960501","charity","1","0","1","0","1","1","0","1","1","1","1","1","1"
"82","James Ltd","560 Denise row","South Samuelberg","DD4 5YG","09098790028","private","1","0","0","1","1","0","1","0","1","0","0","0","0"
"83","Lawrence, O'Sullivan and Wright","5 Karen manors","North Denise","RH2Y 9JT","(0114)4960857","mediation","0","0","0","0","0","1","1","1","0","1","1","0","0"
"84","Taylor PLC","9 Holmes dam","North Barbara","N29 2GQ","+44(0)117 4960026","mediation","1","1","0","0","1","1","0","1","1","0","1","0","1"
"85","Jones, Roberts and Bartlett","993 Tracey summit","Lake Philip","SL46 5UE","+44141 496 0462","solicitor","0","0","1","1","0","0","1","1","0","0","1","0","1"
"86","Brookes PLC","58 Teresa cliff","Hutchinsonburgh","ME5 4YA","+44(0)1144960754","solicitor","0","1","1","0","0","1","1","1","0","1","1","0","0"
"87","Wright-Foster","223 Sally gateway","Port Annetteton","M7B 7LY","(029)2018033","solicitor","0","0","1","0","0","0","0","1","1","0","1","0","0"
"88","Finch-Bailey","4 Margaret field","Port Michael","LN1M 2TR","0118 4960759","mediation","1","1","0","0","1","0","0","1","1","1","0","1","1"
"89","Saunders, Roberts and Cooper","0 Elliot flats","Port Joeltown","N1 3DU","0116 4960734","charity","0","1","1","1","1","0","1","1","0","1","1","1","1"
"90","Stevens-Thompson","2 George mill","Joyceport","OX42 8PG","+44114 496 0584","mediation","1","1","0","1","0","1","0","0","1","1","1","0","0"
"91","Bartlett LLC","452 Jack rapid","Conormouth","HR89 2FD","+44121 4960671","solicitor","0","0","0","0","0","1","1","0","1","0","1","1","0"
"92","Fleming LLC","29 Jenna cliff","Port Stanley","CF4P 7YW","+44306 999 0508","solicitor","0","0","0","1","0","1","1","0","1","1","1","0","0"
"93","Thornton, Harper and Fletcher","5 Weston valleys","East Carolburgh","B2S 0GX","(0141) 496 0122","charity","0","1","0","0","1","0","0","1","1","1","1","0","0"
"94","Clark, Morgan and West","726 Saunders pass","Bryanborough","W12 2QT","(0306)9990461","charity","0","0","0","1","1","1","0","1","0","1","0","0","0"
"95","Barnes, Hunt and Shaw","6 Ellis falls","Lloydmouth","AB5P 8AU","+44(0)1514960222","charity","1","1","1","1","1","0","1","0","1","1","1","0","0"
"96","Griffiths, Simmons and Jones","894 Stuart port","Taylorbury","GL79 6ZN","+441632 960585","solicitor","0","0","0","1","1","0","1","1","0","1","0","1","0"
"97","Lawrence, Barnes and Webb","848 Jacob hills","Rachelmouth","DE6 6SP","+441134960406","mediation","1","0","0","1","1","1","1","1","1","1","1","0","0"
"98","Frost Group","0 Josh cliff","Webbborough","CF1 4FG","0292018039","solicitor","1","0","0","1","1","0","1","0","0","0","0","1","0"
"99","Stephenson, Brown and Hope","9 Holly crossing","North Kevin","B6 1YA","+4429 2018274","charity","1","0","0","1","0","0","0","0","0","1","1","0","0"
"100","Hawkins-Shaw","75 Kirsty square","Phillipsfort","IM8W 8DB","0151 4960846","solicitor","0","1","1","1","1","0","0","1","1","1","0","1","0"
